caller_contract,called_contract
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-odintkn-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-odintkn-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-odintkn-distributor2,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-odintkn-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-pepe-distributor2,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-pepe-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-rock-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-rock-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-distributor2,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-scha-distributor2,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-scha-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-some-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-some-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-stone-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-stone-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-stone-distributor4,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-stone-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-ten-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-ten-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-walter-distributor,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-walter-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-welsh-distributor2,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-welsh-core
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.gl-positions,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.gl-fees
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-1-v1_0_0-0001,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0001
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-1-v1_0_0-0003,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0003
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-1-v1_0_0-0004,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0004
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-1-v1_0_0-0009,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0009
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-1-v1_0_0-0015,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0015
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-2-v1_0_0-0003,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0003
SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-distributor-2-v1_0_0-0009,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0009
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-farming-distributor-1-v1_1_1_ststx,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-farming-core-v1_1_1_ststx-0001
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.farming-wstx-roo-distributor3,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-core
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0026,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0026
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0029,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0029
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0030,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0030
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0050,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0050
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0059,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0059
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0063,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0063
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0064,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0064
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0070,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0070
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0078,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0078
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0118,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0118
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0124,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0124
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-1-v1_1_1-0152,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0152
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-2-v1_1_1-0029,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0029
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-2-v1_1_1-0063,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0063
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-2-v1_1_1-0070,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0070
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-3-v1_0_0-0003,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0003
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-distributor-4-v1_0_0-0003,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-farming-core-v1_0_0-0003
SP27237SX8784MWJK0RN73M0NK270KMY33F6WNXHH.gl-positions,SP27237SX8784MWJK0RN73M0NK270KMY33F6WNXHH.gl-fees
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-rewards-ui-v2-1,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-pool-v1-1
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-rewards-ui-v2-3,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-pool-v1-1
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-rewards-v1-1,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-pool-v1-1
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-rewards-v1-2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-liquidation-pool-v1-1
SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-stake-registry-v2-1,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-diko-guardian-v3-1
SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.dual-stacking-v2-test-ratios,SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.liquid-stacking-v2
SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.dual-stacking-v2-test-snapshots,SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.liquid-stacking-v2
SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.dual-stacking-v2-testing,SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.liquid-stacking-v2
SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.dual-stacking-v2_0_1-testing,SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.liquid-stacking-v2
SP2MJRGS2CRY5D06GPRZ4WA6R6SZM6CC3E3JH6CGX.liquid-stacking-v2,SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.block-info-nakamoto-ststx-ratio-v2
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP168-57WJ2-SP103-2K314,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP16P-KWAKS-SP25B-BPE09,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP1E0-B62T1-SP328-2VDFF,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP1M8-HN17B-SP15B-X3R39,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP1NJ-JV57J-SP1YN-KT3EN,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP1Q5-9330A-SP3KQ-SG355,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP1TA-P46F8-SP1GQ-RT00V,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP295-P1YC2-SP3PZ-9VNPB,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP2EM-9E56V-SP3M3-GRXMA,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SP31S-EYEXC-SP1CF-7WFDM,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SPAAJ-TG23C-SP3PS-48VVA,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SPH7H-JYT2C-SPEA9-HDTDW,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.aibtc-acct-SPRZ4-WXVDJ-SP2WH-VCQ5B,SP2Z94F6QX847PMXTPJJ2ZCCN79JZDW3PJ4E6ZABY.fake-action-proposal-voting
SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.cha-recovery,SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.gbab-v0
SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.dungeon-crawler-rc4,SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.meme-engine-cha-rc3
SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.dungeon-crawler-rc4,SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.meme-engine-iouroo-rc1
SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.dungeon-crawler-rc4,SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.meme-engine-iouwelsh-rc1
SP2ZNGJ85ENDY6QRHQ5P2D4FXKGZWCKTB2T0Z55KS.energize-v1,SP2D5BGGJ956A635JG7CJQ59FTRFRB0893514EZPJ.dexterity-hold-to-earn
SP3CSZFP219B4GD3HM8R8RSWYAS05K7RCTMKTRNRC.gl-positions,SP3CSZFP219B4GD3HM8R8RSWYAS05K7RCTMKTRNRC.gl-fees
SP3YBY0BH4ANC0Q35QB6PD163F943FVFVDFM1SH7S.gl-positions,SP3YBY0BH4ANC0Q35QB6PD163F943FVFVDFM1SH7S.gl-fees
SPD7FTJ7FPSYRRSS2NW7DENE03C17Z0M1QKHN101.farming-distributor-v1_1_1-roons-usdh,SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-farming-core-v1_1_1-0063
SPD7FTJ7FPSYRRSS2NW7DENE03C17Z0M1QKHN101.farming-distributor-v1_1_1-velar-stx,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-velar-stx-core
SPD7FTJ7FPSYRRSS2NW7DENE03C17Z0M1QKHN101.farming-distributor-v1_1_1-wstx-pepe,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-pepe-core
SPD7FTJ7FPSYRRSS2NW7DENE03C17Z0M1QKHN101.farming-distributor-v1_1_1-wstx-roo,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-wstx-roo-core
SPGYCP878RYFVT03ZT8TWGPKNYTSQB1578VVXHGE.farmer,SP2D5BGGJ956A635JG7CJQ59FTRFRB0893514EZPJ.perseverantia-omnia-vincit-hold-to-earn
SPGYCP878RYFVT03ZT8TWGPKNYTSQB1578VVXHGE.powerful-farmer,SP2D5BGGJ956A635JG7CJQ59FTRFRB0893514EZPJ.charismatic-flow-hold-to-earn
SPGYCP878RYFVT03ZT8TWGPKNYTSQB1578VVXHGE.powerful-farmer,SP2D5BGGJ956A635JG7CJQ59FTRFRB0893514EZPJ.dexterity-hold-to-earn
SPGYCP878RYFVT03ZT8TWGPKNYTSQB1578VVXHGE.powerful-farmer,SP2D5BGGJ956A635JG7CJQ59FTRFRB0893514EZPJ.perseverantia-omnia-vincit-hold-to-earn
SPGYCP878RYFVT03ZT8TWGPKNYTSQB1578VVXHGE.silky-teal-crow,SP1KK89R86W73SJE6RQNQPRDM471008S9JY4FQA62.treasury-grant-v4-4
SPMA4G7FYX926EQSD0J36B8AN4NS7823H7JRY414.tree-ground-bear,SPMA4G7FYX926EQSD0J36B8AN4NS7823H7JRY414.liquid-stacking
SPZDJHVW6BVRA79J49X4K7TCKED1QEY1MQNNCFSV.gl-positions,SPZDJHVW6BVRA79J49X4K7TCKED1QEY1MQNNCFSV.gl-fees
